idEstudiante,idPrograma,nombreDirector,fechaPublicacion,nombre,tema
76,5,Olimpia Peppin,6/7/2019,Great skua,Sand Muhly
79,63,Inglebert Moodey,2/3/2011,"Squirrel, arctic ground",Geraniumleaf Phacelia
80,14,Kelsey Boorn,9/18/2010,"Wallaby, tammar",Gordon's Ivesia
84,61,Gabi Obell,1/2/2003,"Fowl, helmeted guinea",Pigweed
85,53,Missy Le Fleming,12/2/2009,Coqui francolin,Rigid Stripeseed
86,8,Roley Cheek,8/4/2012,"Avocet, pied",Arsene's Skin Lichen
93,8,Theo Minchi,11/26/2020,Indian porcupine,Japanese Elm
97,25,Hillel Froud,10/7/2023,"Langur, gray",Balsam Willow
98,71,Dominic Skates,9/23/2005,"Boa, cook's tree",Hawai'i Vetch
99,6,Kiele Langlands,5/29/2019,"Rhinoceros, black",Hilly Sandwort
103,6,Jacquetta Kalf,11/18/2019,Common long-nosed armadillo,Fennel
105,48,Mirelle McCutcheon,7/2/1997,Brush-tailed bettong,Trampweed
106,42,Aveline Olyff,7/23/2008,Common seal,Reclusive Lady's Tresses
107,12,Chelsey Merrywether,1/5/2010,"Zebra, common",Spearmint
109,17,Auberon Quarmby,2/12/2012,Cape clawless otter,Robust Spineflower
117,23,Nilson Golagley,9/15/2010,"Cat, african wild",Smartweed Leaf-flower
118,67,Olivia Rolls,3/31/2008,Malagasy ground boa,Fewflowered Spikerush
119,27,Cecilla Elfe,1/26/1999,Brown capuchin,Curly Plumeless Thistle
121,4,Darla Paskell,11/16/1998,Praying mantis (unidentified),Virginia Bluebells
136,58,Redd Douse,3/12/2013,Purple moorhen,Spiny Hopsage
141,15,Lynnette Letcher,4/22/2000,"Viper, egyptian",Tumamoca
142,21,Errol Laherty,8/19/2012,"Snake, tiger",Yellow Rabbitbrush
143,79,Duke Perry,3/30/2021,Southern right whale,Wasatch Desertparsley
149,72,Sigrid Ducaen,8/22/2002,"Chipmunk, least",Almex
152,23,Deerdre Bicker,10/15/2008,"Pie, rufous tree",Nightshade
154,73,Alina Hadaway,1/13/2002,Koala,Big Yellow Velvetleaf
155,50,Justinian Spivey,4/30/2009,American alligator,Upright Chickweed
156,19,Willow Shelmerdine,6/1/2023,Python (unidentified),Cream Cheesewood
161,48,Erika Rontsch,11/8/2009,Waved albatross,Beard Lichen
163,36,Bentlee Britt,5/28/2006,Agile wallaby,Knotweed
164,38,Brooke Simpkiss,1/30/2005,"Seal, southern elephant",Eastern Grasswort
167,29,Thebault Kennifick,1/27/1999,Argalis,Zapata Bladderpod
168,73,Jacinta Sallery,8/17/2005,"Cat, european wild",Bear Sedge
170,1,Mercy Dalligan,6/4/2008,Yellow-necked spurfowl,Sulphur Sedge
173,76,Sandye Rouff,5/18/2003,Blue shark,Wingpod Purslane
174,5,Thekla Philott,7/10/2009,Roan antelope,Fall Panicgrass
175,31,Collen Rivalant,1/13/2020,Small Indian mongoose,Northern Singlespike Sedge
176,45,Orbadiah O'Hern,3/24/2008,Laughing dove,Thistle Sage
183,49,Libbey Kynge,2/21/2024,Black swan,White Indigoberry
184,31,Deanna Stanworth,10/23/1998,Ant (unidentified),Hiddenpetal Indian Mallow
189,77,Nichole Garaway,2/13/2024,"Squirrel, antelope ground",Thurber's Morning-glory
191,43,Kiley Clyburn,7/22/2007,Weeper capuchin,White Silk Floss Tree
198,47,Gail Howey,1/7/2011,Chimpanzee,Ripgut Brome
200,75,Joseph Fernie,11/10/1995,Pied kingfisher,Engelmann's Knotweed
203,74,Norris Polo,5/30/2010,"Chipmunk, least",Sessileleaf Strap Airplant
205,38,Aggie Hankey,9/21/2017,Great skua,White Bryony
206,8,Whitney Busson,10/17/1999,White-fronted bee-eater,Bigelow Sage
207,53,Regen Fernier,5/8/2014,"Owl, burrowing",Jacob's-ladder
209,3,Norrie Corkan,5/25/2021,"Booby, masked",Leechleaf Cyanea
212,46,Tabbie Grote,9/11/2023,Common langur,White Sunnybell
213,27,Kelsey Kos,9/12/1995,"Macaw, scarlet",Yellow Avalanche-lily
217,32,Teddi Domek,4/4/2022,"Genet, small-spotted",Threepetal Bedstraw
220,40,Debee Simenon,9/7/2010,Woylie,Tiny Purslane
222,71,Gabriell Pull,4/4/2000,Rainbow lory,Weakstem Peperomia
223,33,Derek Vamplew,10/1/2021,"Reedbuck, bohor",New York Mountain Cryptantha
224,14,Granny Chaunce,7/17/2010,"Skua, great",Rusby's Blazingstar
225,54,Lindsay Minchin,2/28/2007,"Goose, spur-winged",Lecania Lichen
226,50,Ive Lutty,2/14/2018,"Macaque, pig-tailed",Rockyscree False Goldenaster
228,32,Laurene Wetherell,1/30/2017,"Stork, woolly-necked",Netleaf Leather Flower
230,78,Bronnie Olechnowicz,5/20/2020,Indian red admiral,Green Phlox
233,33,Laurens Roney,1/24/2005,Red-headed woodpecker,Carolina Laurelcherry
235,53,Kasper Morrice,1/23/2020,Spotted deer,Baker's Cryptantha
236,59,Thain Headingham,3/26/2013,"Mynah, indian",Cylinder Jointtail Grass
237,58,Mylo Blaker,8/22/1995,"Weaver, red-billed buffalo",Slender Goldentop
241,43,Tonye Aburrow,10/26/2011,Yellow-brown sungazer,False Gaura
242,37,Brooks Le Gassick,11/28/2010,Common shelduck,Waianae Range Delissea
243,23,Wynn Morter,10/21/2001,"Shrike, southern white-crowned",Shining Willow
245,8,Tracey La Batie,12/3/2018,"Ibis, glossy",California Spikenard
247,65,Corilla Dinjes,6/22/1996,"Wambenger, red-tailed",Chamber Bitter
251,59,Karney Ludwell,12/27/2023,Slender-billed cockatoo,Maui Pritchardia
252,28,Ardys Eles,1/16/2007,"Stork, black-necked",Dwarf Eelgrass
253,23,Dag Handrock,10/4/2016,Eastern white pelican,Wyman Creek Buckwheat
255,56,Renate Cuddehay,2/13/2017,"Otter, cape clawless",Slimleaf Sneezeweed
257,69,Henry Lawrie,9/15/2015,"Crane, sarus",Coccotrema Lichen
259,18,Eimile Dunderdale,8/27/1996,Long-necked turtle,Gongylia Lichen
267,9,Zandra Laidlaw,7/16/2011,"Owl, burrowing",Climbing Cactus
272,47,Dayle Phinn,6/4/2009,Water legaan,Stenhammar's Pore Lichen
273,7,Casper Babbe,11/20/2012,Eastern quoll,Mexican Starwort
282,9,Karlyn Dybbe,2/15/2005,"Civet, common palm",Gypsum Blazingstar
286,29,Phylys Mollitt,12/13/2003,African ground squirrel (unidentified),Herbwilliam
287,18,Angelle Gilleon,11/19/2011,"Robin, white-throated",Bay
290,50,Lorilyn MacCague,8/9/2004,Brown brocket,Bluet
298,47,Kendall Huckell,6/20/2013,Red brocket,Scribble Lichen
301,58,Trude Bamber,10/25/2005,"Dolphin, bottle-nose",Serpent Woodfern
304,42,Ozzie Willshaw,12/19/1996,"Crow, house",Narrowleaf Arnica
309,32,Moshe Banghe,1/31/2007,Cape cobra,Maydell's Oxytrope
315,45,Emlyn Ewing,10/8/2011,Common ringtail,Christmas Mistletoe
316,18,Becca Landeaux,7/7/2006,"Eagle, bald",Oregon Checkerbloom
324,56,Roberto Kubek,3/7/2018,Honey badger,Scopolia
327,11,Reba Rampling,7/28/2016,Desert spiny lizard,Maroonspot Calicoflower
331,10,Rancell Johannesson,4/28/2018,Western grey kangaroo,Reimar Grass
336,7,Winifred Hedaux,10/1/2017,"Cat, tiger",Megaspora Lichen
352,26,Hildy Elfitt,8/1/2013,Indian leopard,Knowlton's Miniature Cactus
353,5,Michaelina Mongan,7/16/2015,"Mockingbird, galapagos",Glyphis Lichen
355,76,Rakel Astall,7/9/1997,"Squirrel, european red",Shortleaf Jefea
358,5,Glen Abelovitz,10/25/2015,"Bustard, stanley",Cabra Blanca
361,49,Kordula Moger,1/12/2005,Boat-billed heron,Curlyleaf Muhly
368,52,Urbain Pietruszewicz,10/5/1996,Desert kangaroo rat,Arctic Eyebright
369,25,Donavon Christofe,6/30/1997,Adouri (unidentified),Bigelow's Tickseed
371,76,Darill Sutcliffe,8/23/2018,Greylag goose,Warnock's Ragwort
375,13,Sylvan Dakhno,11/29/2018,Black-crowned night heron,Gregg's Hawthorn
377,8,Ingmar Friary,8/10/2019,Mouflon,Smooth Oxeye
379,63,Gayleen Mulliss,5/7/2015,Two-banded monitor,Platygyrium Moss
383,8,Barclay Meneo,7/28/2009,Collared lizard,Broadleaf Barbara's Buttons
390,24,Erie Benardeau,4/27/2000,Beisa oryx,False Hair Sedge
396,57,Lela Haggerty,2/9/2019,"Jackal, silver-backed",Flotow's Dimple Lichen
400,56,Hayes Ayliff,6/18/2012,"Rhea, common",Maule's Quince
401,77,Indira Chrippes,6/4/2008,Western pygmy possum,Auricled Twayblade
404,57,Jaime Snassell,2/16/2012,"Possum, ring-tailed",Orange-flower Star Orchid
406,75,Yale Frost,6/9/2011,Gerbil (unidentified),Bitter Fleabane
408,37,Daffi Rablen,2/19/2004,Long-tailed skua,Sleeping Popcornflower
409,40,Neille Denslow,10/26/2012,"Otter, small-clawed",Balkan Catchfly
410,13,Hogan Dimock,6/14/2017,"Bleu, blue-breasted cordon",Reed Mannagrass
417,62,Noll Burds,7/15/1996,Green vine snake,Hairy Yellow Vetch
419,3,Genni Bury,4/30/2000,"Cardinal, red-capped",Nuttall's Milkvetch
424,56,Vivian Tuffs,7/30/2013,"Bandicoot, long-nosed",Tropidocarpum
425,45,Burk Skains,5/5/2016,Little brown bat,Strawberry Saxifrage
430,79,Jannelle Manchett,6/19/2003,"Dragon, ornate rock",Summer Farewell
433,5,Kain Muress,10/6/2004,"Lizard, desert spiny",Drooping Star Of Bethlehem
435,1,Beckie Pinnington,3/7/1996,Indian leopard,Lung Lichen
436,14,Rey Jirka,11/22/1995,Collared lizard,Yucca
437,61,Tremayne Harris,3/17/2008,"Marshbird, brown and yellow",Cronquist's Phacelia
438,4,Gwenore Harbord,11/8/2000,"Pheasant, common",Beavertail Pricklypear
444,58,Daron Eckhard,4/1/1996,Coke's hartebeest,Hairy Star Of Bethlehem
446,60,Corbet Mahaffey,3/16/2001,Agouti,Smooth Northern-rockcress
453,10,Kahlil Pactat,11/21/1999,Eastern diamondback rattlesnake,Auwahi Melicope
458,77,Carey Catlette,11/25/2009,Numbat,John Charles
460,36,Haydon Cancelier,3/31/2008,Chestnut weaver,Campylopus Moss
462,68,Alli Kiddie,7/14/1996,Sociable weaver,Melastoma
465,78,Yorke Menichini,1/4/2008,"Bunting, crested",Meadow Thistle
468,74,Niall Brotherwood,4/1/1998,Herring gull,Great Sage
469,52,Danette Cheley,5/25/2017,"Genet, common",African Tuliptree
471,40,Crawford Powles,6/15/2002,American black bear,Mustang Monardella
476,59,Hollyanne Reuven,7/31/2003,"Gecko, bent-toed",Fremont's Dalea
478,65,Daisy Peachey,6/8/2008,Black-throated butcher bird,Rocky Mountain Juniper
479,62,Neville Abramsky,1/30/2016,Agile wallaby,Barrelier's Bugloss
482,11,Dirk Filby,8/19/2007,Blue waxbill,Red Mountain Catchfly
483,66,Zita Jerg,11/27/2012,Water legaan,Sensitive Plant
485,43,Ibby Chessun,12/20/2004,Chameleon (unidentified),Oahu Wild Coffee
487,49,Brana Mundwell,7/8/1998,"Skua, long-tailed",Silver Saltbush
489,67,Marchelle Bednall,10/7/2010,"Rhea, common",Gunsight Clarkia
492,10,Benjamen Beceril,5/7/2012,Superb starling,White Avens
493,14,Mirabelle Hutable,1/14/1996,Monitor lizard (unidentified),Melicoccus
494,26,Alecia Rhydderch,7/10/2019,Levaillant's barbet,Pincushion Plant
500,67,Pearla Ryall,7/16/2006,"Buffalo, asian water",Thismia
502,36,Joly Bearcock,7/26/2006,Grey lourie,Lipfern
505,76,Ami Moxon,9/29/2001,"Deer, white-tailed",Pineland Buckwheat
507,52,Eben Osant,6/28/2000,"Vulture, white-headed",Alkali Goldenbush
514,38,Seline Crenshaw,12/13/2019,"Jackal, golden",Timber Milkvetch
516,79,Dillie Spearman,2/11/2018,"Mynah, indian",Pygmyflower Rockjasmine
518,19,Kelwin Winfindine,9/22/2012,Koala,Fatoua
521,1,Lanny Benz,3/3/2023,"Cat, cape wild",Moluccella
525,39,Harmonie Joscelin,8/14/2011,Coyote,Hopi Tea Greenthread
526,25,Norina Pude,9/24/2005,"Goose, andean",Longtube Iris
530,49,Missie Fevers,3/17/1998,"Waxbill, blue",Smooth Townsend Daisy
531,59,Carol Ramsdale,7/11/2004,Common seal,Bottlebrush
532,37,Evania Arnout,1/31/2023,Superb starling,Campion
535,29,Catarina Pipping,10/23/1996,"Screamer, southern",Bigelow's Monkeyflower
537,80,Melicent Aps,5/20/2011,"Snake, tiger",Cooper's Rubberweed
543,40,Roddy Peidro,7/4/2022,Southern boubou,Forked Hareleaf
544,41,Aleen Swatland,4/22/2012,Roan antelope,Ballhead Ipomopsis
545,27,Merla Cunnane,10/13/2007,"Fowl, helmeted guinea",Parry's Dwarf-sunflower
547,78,Irma Middleditch,8/27/2007,Red-tailed cockatoo,Caribbean Princewood
549,25,Robby Harcarse,5/25/2016,"Coatimundi, white-nosed",Pylaisiella Moss
550,70,Emmanuel Hirth,5/19/2022,Turkey vulture,Desert Tobacco
551,72,Allie Durtnel,4/1/1995,European shelduck,Drooping Wattle
552,46,Roderic Yeoland,11/20/2015,"Quail, gambel's",Palmer's Catchfly
561,18,Reinaldo Shuter,11/7/1999,Cormorant (unidentified),Marijuana
562,47,Abba McQuillen,6/11/1996,Field flicker,Pyrenean Thistle
565,31,Anatola Lightbourn,3/3/1998,"Nuthatch, red-breasted",Fineleaf Hymenopappus
569,9,Donnajean Mordecai,1/7/1998,Tsessebe,Cold Crabseye Lichen
574,10,Katie Book,6/29/2016,European stork,Wedgeleaf Draba
578,64,Sunny Hundell,11/13/2011,Wattled crane,Sweetscented Phacelia
587,80,Shana Sedcole,7/6/2011,Red kangaroo,Arizona Cinquefoil
588,36,Jard Lilly,11/17/2000,"Glider, squirrel",Anglevein Fern
593,65,Reeva Glassborow,1/21/2009,Superb starling,Sierra Suncup
594,62,Anabella Noirel,1/9/2011,"Skimmer, four-spotted",Common Bushweed
597,34,Millard Stuke,7/23/2003,Bush dog,American Lichinella Lichen
598,63,Silvain Stebles,5/7/2023,"Lorikeet, scaly-breasted",Spiny Spiderflower
601,18,Daphne Thurbon,1/29/2006,Mocking cliffchat,Tamarack
604,25,Cacilie Brogan,4/8/2022,"Chickadee, black-capped",Teramnus
605,60,Eberto Hartop,11/10/2006,"Cobra, cape",Rim Lichen
606,13,Lorenzo Oppy,5/3/2018,White-fronted capuchin,Birdwing Fern
607,60,Kevyn Lundberg,6/22/2002,Emu,Ouachita Mountain Sedge
609,20,Lorenza Bullin,2/19/2017,Arctic tern,Nevada Sumpweed
610,59,Hastings MacGorrie,5/4/2006,"Albatross, waved",Arizona Foldwing
614,80,Eldredge Edlyn,8/7/2005,Southern white-crowned shrike,Stenocybe Lichen
620,35,Kenn Ervine,11/16/2001,"Bat, asian false vampire",Arthothelium Lichen
621,9,Ilaire Ondrak,6/21/2016,Eurasian red squirrel,Sonora Entosthodon Moss
622,20,Andria Drew,1/5/2005,Crown of thorns starfish,Olympic Onion
623,22,Delores Fenning,8/26/2010,Spotted hyena,Culver's Root
624,62,Lou Aleksashin,3/24/2000,"Iguana, marine",Montane Ditrichum Moss
631,35,Giraud Noad,3/12/2005,Rhesus monkey,Xanthoparmelia Lichen
632,36,Cris Morkham,10/13/2011,House crow,Cachimbo De Gato
636,12,Theresita Pardoe,12/7/2000,Roe deer,Deltoid Balsamroot
640,74,Seth Midlar,6/27/2001,"Magpie, black-backed",Bulbophyllum
649,55,Domenic Baggally,2/4/2016,Madagascar fruit bat,Slender Amaranth
650,50,Monti Padell,12/9/2018,Coke's hartebeest,Birdcatching Sedge
658,56,Urbain Sifflett,12/20/2017,Asiatic wild ass,Artocarpus
661,51,Randi Ziemecki,3/21/2004,Urial,New Mexican Fontinalis Moss
664,79,Nester Killough,6/22/2002,Brush-tailed rat kangaroo,Bulrush
665,76,Anya Mandy,1/26/1999,"Whale, baleen",California Milkwort
667,20,Maxim Daunter,5/26/2010,Fisher,Chilean Nightshade
669,67,Kain Downey,3/7/2020,Whip-tailed wallaby,Lecania Lichen
673,17,Milton Stirman,9/22/1995,"Cormorant, great",Purple False Gilyflower
688,35,Bess Guest,5/25/2011,"Vulture, oriental white-backed",Maraca Roja
690,21,Sue Rosenbloom,1/11/2006,Pampa gray fox,Tricolor Daisy
692,3,Iolanthe Bover,6/20/2003,"Francolin, swainson's",Three Toothed Saxifrage
694,1,Bord Lawman,10/10/2009,Silver-backed fox,Mexican Pokeweed
695,22,Olga Parley,10/10/2023,"Albatross, waved",Disc Lichen
697,27,Giacobo Liley,1/3/2018,"Cormorant, pied",Manyhead Desertdandelion
703,30,Harris Oguz,6/30/2010,Bald eagle,Largeleaf Rose Gentian
708,16,Sada Quye,11/21/2014,"Racer, american",Brigantiaea Lichen
709,15,Nappie Haseman,12/6/2004,Canada goose,Surefoot Buttercup
711,56,Shaine Yetts,6/29/2002,"Bustard, stanley",Foothill Larkspur
715,78,Odell Wharlton,11/1/1996,Western grey kangaroo,Hairy Chaffhead
726,61,Albina Taphouse,3/31/2017,Brown capuchin,Sedge
727,58,Marty Palister,2/16/2015,Bald eagle,Jumping Cholla
728,18,Ike Baughen,11/21/2001,American crow,Carolina Primrose-willow
740,10,Moselle Clara,12/12/2021,Cape cobra,Creeping Filmy Fern
745,22,Latia Whitton,11/5/2022,Nubian bee-eater,Desert Springparsley
746,9,Chantalle Thomazin,8/14/2015,White rhinoceros,Alaska Mistmaiden
748,22,Britni Pelfer,2/18/2012,Caracara (unidentified),Branched Pencil Cholla
759,80,Veradis Gaffey,5/29/1997,"Kangaroo, western grey",Tube Lichen
768,33,Vern Delea,10/30/2014,Lizard (unidentified),Brunswickgrass
771,61,Ivette Lewzey,3/27/1996,African wild dog,Grayleaf Willow
777,48,Kiersten Neylon,1/29/2012,"Hen, sage",Myrtus
779,28,Elfrieda Burker,5/20/1998,"Monkey, rhesus",Hairy Bedstraw
782,55,Deena Penreth,3/1/2006,"Hare, arctic",Scribner's Grass
784,16,Tiphanie Cureton,3/23/2021,Oriental white-backed vulture,Golden Rimmed Navel Lichen
787,31,Miof mela Caldroni,7/23/2022,"Bulbul, black-eyed",Clustered Sage
789,54,Reggie Pulhoster,4/15/2017,"Eagle, crowned",Carolina Leaf-flower
793,78,Hugh Velez,1/3/2004,Columbian rainbow boa,Serrate Ptychomitrium Moss
795,23,Erl Josovitz,1/15/2019,"Pheasant, ring-necked",Parthenice
796,29,Jessamyn Standbridge,10/18/2019,"Constrictor, eastern boa",Siberian Mountain Ash
798,40,Igor Dyshart,2/28/2016,"Quail, gambel's",Basket Fern
806,28,Bret Rosas,5/3/2020,"Woodcock, american",Olney's Hairy Sedge
807,23,Lesli Kollaschek,2/5/2016,Crowned hawk-eagle,Sleepydaisy
808,73,Fowler Chaize,8/26/2018,Little blue penguin,California Fiddleleaf
811,4,Tiff Haselgrove,1/16/2004,Black-eyed bulbul,Panhandle Meadowbeauty
812,75,Eydie Stephenson,1/30/2011,Northern elephant seal,Indian Woodoats
813,4,Lorri Blasetti,11/27/2023,"Screamer, southern",California Stickseed
814,29,Theo Wyon,10/30/2014,"Kangaroo, red",Bearded Skeletongrass
818,50,Angelika Crowest,10/14/2023,"Cockatoo, roseate",Fivenerve Helianthella
824,60,Allie Hubbocks,12/16/2021,Campo flicker,Sanddune Spurge
831,72,Wendell Gainforth,10/1/2016,"Bird, bare-faced go away",Wetherill's Buckwheat
833,60,Conant Legan,7/27/2019,Galapagos tortoise,Dudley's Monkeyflower
845,20,Gil Biever,10/28/2023,Capybara,Ray's Knotweed
846,46,Wendye Lionel,11/23/2013,"Elephant, african",Pseuderanthemum
848,68,Bobina Sparrowhawk,11/1/2007,"Kingfisher, malachite",Navel Lichen
854,71,Em Fassam,5/7/2019,Tsessebe,Privet Senna
855,55,Kessiah Blesdill,5/2/2005,"Robin, white-throated",Miniature Lupine
860,40,Artus Wyllis,4/21/1996,"Pademelon, red-legged",King's Bird's-beak
862,61,Crissy Honeyghan,3/24/2018,Killer whale,Ponderosa Pine
863,73,Elita Westell,3/22/2004,"Cockatoo, sulfur-crested",Whitetip Clover
872,20,Corbin Bullman,6/3/2012,Yellow-throated sandgrouse,Graceful Sedge
877,57,Corbie De Lorenzo,1/20/2011,Black-winged stilt,Wright's Beardgrass
878,57,Nadine Falla,3/15/1999,Magistrate black colobus,Chocolate Vine
881,15,Carmine Jain,8/24/2013,"Hyena, striped",Austin Desertparsley
884,70,Ricard Foxley,2/21/2000,"Macaque, bonnet",Bluewitch Nightshade
886,29,Lorain Maffione,6/17/1997,Striated heron,Stone Bramble
887,32,Eolanda Trodler,5/27/2007,Bohor reedbuck,Cliffdweller
889,45,Thaddeus Milstead,9/16/2005,Paca,Lemmon's Milkvetch
905,79,Alidia Delamaine,11/19/2003,Whip-tailed wallaby,Greater Yellowthroat Gilia
906,29,Daisie Vayne,12/24/2005,Silver-backed fox,Alpine Golden Buckwheat
907,64,Maxim Huguenet,9/20/1998,"Gazer, sun",Howell's Quillwort
912,41,Salem Nangle,4/21/2009,"Marten, american",Abruptbeak Sedge
913,48,Phineas Morphey,2/6/2002,Grey-footed squirrel,Cossatot Mountain Leafcup
914,3,Alyse Burchett,2/23/2000,"Goose, cereopsis",Silver Ponysfoot
921,37,Sadella Bascombe,5/8/2023,"Ass, asiatic wild",Mauna Loa Beggarticks
922,46,Ham Seagar,6/18/2000,"Baboon, savanna",Oregon Cliff Fern
925,32,Marta Levis,10/17/2009,"Weaver, white-browed sparrow",Keck's Beardtongue
929,61,Juliette Gunningham,6/24/2013,Black bear,Coccocarpia Lichen
931,39,Natassia Karpe,1/20/2006,"Rat, white-faced tree",Early Crocus
940,33,Minda Alastair,3/22/2010,"Zorro, azara's",Bandanna Of The Everglades
942,16,Donelle Slewcock,5/23/2010,Ringtail,Yellow Pea
944,17,Fergus Wileman,5/26/2004,"Jackal, black-backed",Small Camas
948,51,Corie Kelland,4/19/2008,Dama wallaby,Texas Snakecotton
949,53,Costanza Jiru,7/22/1999,"Booby, blue-footed",Ironweed
951,77,Lesya Penny,8/30/2004,Egyptian viper,Desert Agave
953,10,Seward Olivella,12/30/2006,Coqui francolin,Santa Cruz Water-lily
954,13,Yves Franciskiewicz,5/17/2016,Blue catfish,Black Cumin
967,37,Merrill Tinkler,2/5/2024,"Bettong, brush-tailed",Loa Milkvetch
970,45,Julienne Setchell,8/8/2021,"Sloth, two-toed tree",Diamond Valley Suncup
977,60,Clarence Monan,2/2/1997,"Kangaroo, black-faced",Serrate Aphanorrhegma Moss
978,13,Annaliese Nare,6/27/2012,Slender loris,Cusick's Fumewort
980,41,Julita Melonby,7/19/1997,Frilled dragon,Sunburst
981,12,Nathalie Cranmore,10/16/1995,Steller sea lion,Pele Clermontia
983,64,Jillie Wellman,5/10/2009,Yak,Dwarf Lilyturf
992,41,Pearce Fancourt,6/20/2008,"Gazer, sun",Lempholemma Lichen
993,38,Eda Sandercroft,7/22/2022,Little blue penguin,Wart Lichen
995,38,Karlene Tarply,10/23/2017,Pocket gopher (unidentified),Pata De Gallina
998,12,Cally Rosekilly,10/7/2021,African pied wagtail,Palestine Clover
