idEstudiante,idPrograma,Programa,nombre,email,sexo,genero,fechaNacimiento,Modalidad Grado,telefono,fechaInicio,fechaFin
20,78,Neurociencias (Doctorado),Mae Beer MD,Meredith0@hotmail.com,female,F2M,1/19/1990,tesis,3916163865,10/20/2010,10/26/2017
21,72,Estudios Urbanos y Regionales (Doctorado),Robin Bartell,Ray48@hotmail.com,male,Gender variant,8/10/1991,bapi,3691478103,11/19/2019,3/26/2024
22,60,Neurociencias (Maestria),Dustin Gerhold,Marjorie59@yahoo.com,female,Cisgender,10/15/1993,tesis,3306554703,2/21/2018,11/24/2022
23,37,Pedagogia,Ms. Pam Bauch,Lester96@hotmail.com,male,Two-spirit,10/2/1999,pasantia,3869012241,2/6/2023,1/16/2031
24,65,Sociologia (Maestria),Angela Pagac Jr.,Marcella_Kohler38@yahoo.com,female,Cisgender male,12/26/1994,bapi,3279317094,7/4/2014,8/10/2023
25,12,Diseno Grafico,April Champlin,Tom99@hotmail.com,male,Male to female,2/12/1990,pasantia,3676249303,6/13/2018,12/20/2027
26,30,Lenguas Modernas,Mr. Ernesto Schneider,Fannie89@hotmail.com,female,Female to male transsexual man,10/20/1991,tesis,3651692021,2/22/2019,2/1/2028
27,38,Psicologia,Bonnie Hilll,Randall82@gmail.com,male,M2F,6/11/1999,bapi,3095182887,8/20/2030,12/25/2037
28,13,Economia,Clifford Homenick,Lorraine.Blanda-Sauer@yahoo.com,female,Transexual woman,4/16/1992,tesis,3451668731,9/21/2022,12/31/2033
29,20,Ingenieria Ambiental,Frankie Pollich,Karl92@gmail.com,male,Trans person,3/27/1997,tesis,3856804629,8/29/2018,5/4/2028
30,11,Derecho,Mrs. Esther Rempel,Monique.Kub@yahoo.com,female,Demi-woman,7/15/1990,pasantia,3372954998,5/20/2017,3/4/2022
31,77,Medicina (Doctorado),Clinton Langosh,Della11@yahoo.com,female,Two-spirit,9/29/1990,tesis,3842617796,3/5/2010,2/15/2021
32,15,Enfermeria,Israel White,Glenn24@hotmail.com,male,Transexual,7/28/1998,tesis,3243519187,7/6/2019,1/17/2030
33,3,Arquitectura,Myra Auer,Forrest.Ernser@gmail.com,male,Female to male,11/20/1997,tesis,3981805882,1/25/2030,11/26/2040
34,52,Historia (Maestria),Elvira Kuvalis V,Seth_Kautzer7@hotmail.com,male,Intersex woman,3/30/1995,pasantia,3842029970,1/3/2018,4/12/2026
35,61,Odontologia (Maestria),Minnie Hessel,Madeline46@gmail.com,female,FTM,3/23/1993,pasantia,3305297749,4/25/2012,12/26/2016
36,4,Arte,Marshall Haag,Becky_Kihn79@yahoo.com,female,Multigender,11/30/1990,tesis,3610469764,6/6/2021,8/14/2026
37,60,Neurociencias (Maestria),Ira Gorczany,Aubrey.Hagenes7@yahoo.com,male,Cisgender man,2/10/2000,bapi,3895278444,6/20/2023,11/23/2029
38,35,Nutricion y Dietetica,Dr. Philip Douglas,Horace_Pfannerstill@hotmail.com,male,FTM,7/8/1997,bapi,3119939986,4/14/2022,1/19/2032
39,18,Historia,Joey Mann,Carolyn75@gmail.com,female,Neither,6/9/1990,tesis,3725268034,6/15/2018,12/25/2028
40,37,Pedagogia,Susie Franey,Alexandra59@yahoo.com,female,Demi-boy,10/27/1992,pasantia,3262219777,9/3/2022,4/6/2029
41,9,Comunicacion Social,Connie Friesen,Chad10@hotmail.com,male,Two-spirit person,9/28/1990,pasantia,3345213760,3/4/2012,9/9/2016
42,43,Biologia Molecular y Biotecnologia (Maestria),Clifford Pagac,Mattie_Batz31@gmail.com,female,Multigender,5/6/1992,tesis,3789780931,2/8/2021,1/14/2027
43,77,Medicina (Doctorado),Miss Delores Harris,Sheldon_Muller51@gmail.com,male,Woman,4/12/1996,pasantia,3973300476,10/23/2020,8/27/2031
44,40,Sociologia,Suzanne DuBuque,Angel.Goldner@gmail.com,male,F2M,4/12/1996,tesis,3683849522,12/21/2026,7/23/2038
45,3,Arquitectura,Howard Schuster Jr.,Kari32@hotmail.com,female,Gender questioning,3/11/1996,tesis,3819882071,6/21/2019,11/23/2030
46,20,Ingenieria Ambiental,Alex Hyatt,Carlos80@yahoo.com,male,Intersex person,11/25/1992,pasantia,3131294344,3/27/2013,5/7/2018
47,15,Enfermeria,Aaron Durgan,Zachary78@hotmail.com,male,Two-spirit,1/19/1999,tesis,3413417447,5/22/2029,9/25/2040
48,52,Historia (Maestria),Debbie Fadel,Doug_Skiles@hotmail.com,male,Cisgender woman,10/6/1996,bapi,3601156543,7/7/2027,1/8/2033
49,25,Ingenieria de Sistemas y Computacion,Eddie O'Reilly,Dianne_Kshlerin@gmail.com,female,Trigender,3/26/1991,tesis,3593258799,7/27/2017,6/8/2025
50,28,Ingenieria Mecanica,Joyce Weissnat-Lueilwitz III,Karla_Prohaska@gmail.com,female,Intersex,8/9/1994,pasantia,3459279322,12/18/2013,4/19/2025
51,55,Ingenieria de Materiales (Maestria),Mr. Julio Green,Patty70@hotmail.com,female,Transexual male,12/27/1995,bapi,3766202905,3/10/2026,5/13/2032
52,20,Ingenieria Ambiental,Leona Rogahn,Manuel_Hermiston@hotmail.com,male,Cisgender,7/18/1996,tesis,3651874538,12/30/2021,6/10/2034
53,75,Linguistica (Doctorado),Josephine Labadie,Kayla92@hotmail.com,female,Gender questioning,10/25/1995,tesis,3498196413,3/6/2027,2/12/2034
54,7,Ciencias de la Computacion,Louis Barrows,Wilbur.Senger@yahoo.com,male,Demi-man,9/10/1993,tesis,3674242385,3/17/2021,6/21/2029
55,76,Matematicas (Doctorado),Mamie Ebert,Norma96@yahoo.com,female,Transexual male,1/11/1993,pasantia,3202784541,7/21/2017,10/2/2025
56,54,Ingenieria Civil y Ambiental (Maestria),Penny Nitzsche,Krista_Lowe@gmail.com,female,Non-binary,9/2/1997,pasantia,3631269985,8/5/2026,12/17/2034
57,68,Biologia (Doctorado),Kelvin Greenfelder,Rosemary29@yahoo.com,female,Polygender,8/17/1996,pasantia,3918839832,10/20/2018,11/23/2024
58,51,Gestion y Desarrollo Urbanos (Maestria),Felipe Stamm,Tomas_Hauck80@yahoo.com,male,Female to male transsexual man,12/27/1996,tesis,3207685740,6/6/2018,9/7/2025
59,73,Fisica (Doctorado),Cindy Bailey,Roderick.McLaughlin30@hotmail.com,male,Cis man,8/28/1993,bapi,3681207701,10/4/2014,10/15/2019
60,34,Musica,Terrell Swift,Luther6@gmail.com,male,T* man,6/14/1998,tesis,3715782119,11/23/2027,5/3/2032
61,26,Ingenieria Electrica,Francis Kutch,Loretta_Stark13@hotmail.com,female,Other,12/3/1991,bapi,3189242124,10/5/2019,9/14/2028
62,80,Sociologia (Doctorado),April Morar,Johanna.Dach3@hotmail.com,female,Gender fluid,10/25/1991,bapi,3955980390,12/6/2019,10/10/2026
63,45,Desarrollo Sostenible (Maestria),Mr. Adrian Rohan,Herbert.Spinka60@yahoo.com,male,Transexual,4/7/1996,tesis,3294017601,2/14/2020,4/16/2026
64,76,Matematicas (Doctorado),Mr. Clark Altenwerth,Brandon70@yahoo.com,male,Trans female,2/17/1990,bapi,3056796799,8/26/2014,8/29/2020
65,46,Economia (Maestria),Dr. Elaine Nienow,Patty5@hotmail.com,female,Intersex woman,5/9/1997,tesis,3577739982,10/13/2020,3/21/2033
66,68,Biologia (Doctorado),Judy Dicki,Angelo_Berge48@gmail.com,male,Genderqueer,4/18/1998,bapi,3821874948,1/28/2030,9/3/2035
67,63,Quimica (Maestria),Tony Hermann,Tonya65@gmail.com,female,Cis male,2/20/1997,pasantia,3147751070,8/22/2020,6/1/2031
68,35,Nutricion y Dietetica,Diana Parisian,Violet_Franecki@yahoo.com,female,Cisgender male,1/15/1992,bapi,3465778084,6/20/2020,11/30/2023
69,12,Diseno Grafico,Sadie Gusikowski,Marjorie29@hotmail.com,female,Androgyne,5/4/1992,tesis,3169750513,11/16/2017,10/18/2023
70,37,Pedagogia,Maryann Schuppe,Victor.Nader@gmail.com,male,Demi-woman,12/31/1999,bapi,3305146467,2/8/2027,9/19/2035
71,13,Economia,Abraham Carter,Irvin.Larson31@yahoo.com,male,Male to female,7/20/1993,pasantia,3417636453,8/22/2015,6/1/2024
72,52,Historia (Maestria),Kurt Cruickshank,Corey.Fahey@yahoo.com,male,Other,2/19/1990,bapi,3026371188,6/21/2010,8/26/2018
73,9,Comunicacion Social,Cheryl Little,Ervin84@yahoo.com,male,Cisgender,1/22/1999,pasantia,3650417632,10/3/2026,3/6/2034
74,49,Fisica (Maestria),Delia Dicki DDS,Susan_Kirlin30@gmail.com,female,Cisgender,10/6/1999,bapi,3286722654,4/8/2028,5/19/2039
75,23,Ingenieria de Alimentos,Terri Rempel,Marion.Farrell@hotmail.com,female,Female to male,3/10/1990,bapi,3084514714,7/11/2014,6/22/2021
76,5,Biologia,Miss Myrtle Howe,Norman_Hoppe@gmail.com,male,Trans person,1/26/1995,tesis,3645734137,11/6/2020,7/7/2025
77,38,Psicologia,Tracy Welch,Julie.Sanford@hotmail.com,female,Male to female,10/2/1996,bapi,3578670803,9/13/2018,10/19/2027
78,48,Estudios Latinoamericanos (Maestria),Johnny Ortiz,Lyle_Purdy66@gmail.com,male,Cisgender woman,8/17/1992,pasantia,3881314951,1/19/2024,5/30/2033
79,63,Quimica (Maestria),Caroline Haag,Michael_Halvorson@gmail.com,male,Agender,6/1/1992,tesis,3956737489,11/13/2017,1/19/2024
80,14,Educacion,Dr. Warren Rippin,Ervin43@hotmail.com,male,Transexual person,12/24/1998,tesis,3600349997,6/26/2020,7/30/2026
81,68,Biologia (Doctorado),Dr. Wendell Tremblay,Carmen_Kunde@yahoo.com,female,Intersex,1/3/1990,bapi,3383558312,6/13/2020,8/22/2025
82,79,Quimica (Doctorado),Monica Beer,Michael32@yahoo.com,male,Neither,7/26/1991,pasantia,3003812169,8/6/2015,4/12/2025
83,51,Gestion y Desarrollo Urbanos (Maestria),Kerry Franey,Curtis_Effertz66@hotmail.com,male,Cis male,9/26/1995,bapi,3110302099,7/8/2015,7/17/2024
84,61,Odontologia (Maestria),Lena Moore,Ann95@hotmail.com,female,Genderqueer,3/20/1990,tesis,3194618158,7/28/2020,8/6/2029
85,53,Ingenieria Biomedica (Maestria),Tina Altenwerth,Delbert59@hotmail.com,male,Intersex,11/2/1995,tesis,3150680319,11/12/2022,7/18/2029
86,8,Ciencias Politicas,Ollie Becker,Jeanne.Lockman@gmail.com,female,Intersex,1/23/1990,tesis,3302463329,4/4/2012,3/8/2020
87,22,Ingenieria Civil,Gayle Medhurst,Suzanne.Goodwin-Schaefer72@gmail.com,female,Transexual male,8/16/1992,bapi,3810841733,2/19/2020,9/24/2025
88,75,Linguistica (Doctorado),Betsy Simonis,Adrienne_Herzog98@hotmail.com,female,Transgender person,11/21/1992,bapi,3874342127,6/27/2022,9/1/2031
89,20,Ingenieria Ambiental,Willis Metz,Jaime_Hyatt7@gmail.com,female,F2M,1/12/1995,bapi,3844581542,11/16/2022,4/21/2033
90,32,Medicina,Mercedes Turner,Claude.Hickle@hotmail.com,male,Cisgender man,12/9/1991,bapi,3787903792,5/19/2017,10/30/2029
91,60,Neurociencias (Maestria),Troy Armstrong Jr.,Elbert.Fisher-Kuhlman25@gmail.com,male,T* man,1/17/1995,pasantia,3405907784,2/24/2025,7/5/2033
92,66,Trabajo Social (Maestria),Lloyd Hilpert,Nicolas.Walter@yahoo.com,male,FTM,6/27/1999,bapi,3622778854,9/4/2023,3/6/2033
93,8,Ciencias Politicas,Carole Rau,Tracy40@yahoo.com,male,Cis,2/7/1990,tesis,3255439577,7/19/2015,1/31/2022
94,51,Gestion y Desarrollo Urbanos (Maestria),Lorena Harvey,Ramon_Wisoky70@yahoo.com,male,Intersex person,3/16/1996,pasantia,3223387575,4/22/2017,5/31/2028
95,63,Quimica (Maestria),Dora Metz,Elsa_Gottlieb@yahoo.com,female,Other,12/31/1993,pasantia,3330136627,7/7/2016,6/12/2026
96,66,Trabajo Social (Maestria),Janis Bins,Ethel_Swaniawski0@yahoo.com,female,M2F,9/19/1998,pasantia,3567002639,3/30/2029,12/2/2038
97,25,Ingenieria de Sistemas y Computacion,Dr. Jesus Jacobs,Ron_Fisher@yahoo.com,male,Polygender,12/1/1992,tesis,3504459870,3/3/2014,2/10/2022
98,71,Educacion (Doctorado),Mrs. Alexis Walsh,Marie_Bogisich@yahoo.com,female,Cisgender woman,4/6/1990,tesis,3744028705,9/18/2013,1/27/2019
99,6,Ciencias Ambientales,Floyd Wiza,Lorene_Ruecker11@gmail.com,female,Man,5/6/1996,tesis,3879494701,7/9/2016,2/11/2022
100,3,Arquitectura,Ian Graham,Karl.Jenkins53@yahoo.com,male,Transexual person,12/13/1994,bapi,3837995828,11/20/2022,5/27/2027
101,75,Linguistica (Doctorado),Raquel Lakin,Steven44@yahoo.com,male,Two-spirit,5/3/1994,pasantia,3750246125,8/6/2025,2/7/2034
102,72,Estudios Urbanos y Regionales (Doctorado),Dr. Irvin Johnston,Bernice38@hotmail.com,female,Cisgender man,4/28/1995,pasantia,3388651122,2/4/2016,8/6/2027
103,6,Ciencias Ambientales,Fred Aufderhar,Luis.Miller@gmail.com,male,Trans person,9/17/1991,tesis,3074813304,3/22/2013,1/29/2022
104,38,Psicologia,Edward Schowalter,Charlie_Bednar8@yahoo.com,male,Two* person,4/7/1991,pasantia,3885180366,5/13/2019,5/14/2029
105,48,Estudios Latinoamericanos (Maestria),Violet Moen,Tara52@yahoo.com,female,Multigender,2/23/2000,tesis,3992922778,12/2/2020,4/14/2027
106,42,Arquitectura Paisajista (Maestria),Miss Rita Upton,Herman_Wunsch40@hotmail.com,male,Genderqueer,11/27/1994,tesis,3057121033,2/6/2021,3/16/2026
107,12,Diseno Grafico,Kristen Cassin Sr.,Elena.Weissnat32@gmail.com,female,Trans,3/28/1991,tesis,3275164868,10/9/2022,1/15/2027
108,40,Sociologia,Brandi Schmidt,Terri64@yahoo.com,female,Two* person,2/4/1999,pasantia,3520502288,3/11/2030,2/13/2038
109,17,Geografia,Ronald Haag,Darrell_Bauch90@gmail.com,male,Gender neutral,2/4/2000,tesis,3374822756,6/14/2029,5/25/2039
110,45,Desarrollo Sostenible (Maestria),Barry Monahan,Sam_Nitzsche79@yahoo.com,male,Cisgender woman,8/12/1991,bapi,3929959909,5/22/2013,6/25/2023
111,3,Arquitectura,Helen Bahringer,Lauren88@yahoo.com,female,Neither,2/16/1991,bapi,3690435677,4/21/2015,8/22/2021
112,25,Ingenieria de Sistemas y Computacion,Dr. Jo Dickens,Crystal_Wisoky31@hotmail.com,female,Trans male,10/27/1999,bapi,3155577958,1/29/2030,5/11/2038
113,35,Nutricion y Dietetica,William Kreiger,Mamie.Jerde79@gmail.com,female,Genderflux,2/13/1999,pasantia,3798755071,5/25/2024,4/3/2031
114,80,Sociologia (Doctorado),Linda Senger,Olive13@yahoo.com,female,Female to male transgender man,11/6/1996,pasantia,3726772967,6/13/2019,12/20/2025
115,73,Fisica (Doctorado),Miranda Abbott,Sheila35@hotmail.com,female,Two* person,2/20/1999,bapi,3455718243,9/25/2025,2/2/2033
116,1,Administracion de Empresas,Allison Gleason,Teresa.Lueilwitz@hotmail.com,female,Intersex man,2/11/1995,pasantia,3269055819,7/13/2016,1/16/2024
117,23,Ingenieria de Alimentos,Katie Hansen,Wilma.Boyle@gmail.com,female,Demiflux,12/1/1991,tesis,3136368535,6/11/2013,7/14/2023
118,67,Arquitectura (Doctorado),Cindy Hayes,Maurice72@gmail.com,male,Transexual male,4/11/1990,tesis,3073179949,12/19/2014,5/28/2023
119,27,Ingenieria Industrial,Chelsea Crooks,Alexis73@gmail.com,female,Transgender female,5/24/1997,tesis,3723348419,7/6/2022,10/18/2028
120,63,Quimica (Maestria),Kim Waelchi,Hazel_Bogisich60@hotmail.com,female,Cis,1/15/1993,bapi,3253515477,2/26/2021,7/31/2032
121,4,Arte,Juana Murazik,Ron38@yahoo.com,male,M2F,11/21/1996,tesis,3597346106,5/24/2026,10/31/2035
122,38,Psicologia,Malcolm Bergstrom,Juana.West26@gmail.com,female,Cis male,3/11/1999,bapi,3208469682,3/21/2027,3/2/2039
123,8,Ciencias Politicas,Al King,Jacquelyn_Crona-Considine69@hotmail.com,female,Female to male transsexual man,1/4/1996,bapi,3986923482,3/6/2020,1/12/2028
124,45,Desarrollo Sostenible (Maestria),Elisa Douglas,Ellen.Farrell@hotmail.com,female,Transgender person,2/29/2000,bapi,3021706732,12/31/2030,12/4/2041
125,59,Musica (Maestria),Joanne O'Reilly,Sandra_Heller@yahoo.com,female,Gender questioning,1/15/1996,bapi,3018944024,5/25/2025,7/6/2032
126,36,Odontologia,Alison Gerhold,Marcella_Bins87@gmail.com,female,Hermaphrodite,7/1/1994,pasantia,3609414137,10/10/2022,6/14/2028
127,16,Fisica,Dianna Connelly,Terri_Bayer@yahoo.com,female,Cis woman,11/12/1994,bapi,3789107859,7/19/2025,1/22/2030
128,9,Comunicacion Social,Ora Rutherford,Matthew57@hotmail.com,male,Two-spirit person,5/6/1992,bapi,3386446369,5/14/2021,5/20/2025
129,6,Ciencias Ambientales,Christie Rempel,Gayle_Schaden@gmail.com,female,Cis woman,2/6/1998,pasantia,3909525466,5/17/2020,6/28/2031
130,48,Estudios Latinoamericanos (Maestria),Minnie Boyer,Guy_Hickle@yahoo.com,male,Cisgender,3/29/1998,bapi,3636935560,10/5/2025,12/7/2037
131,11,Derecho,Dave Zemlak DVM,Angie_OKon67@hotmail.com,female,Cisgender man,6/26/1994,pasantia,3159169329,10/31/2025,3/11/2035
132,76,Matematicas (Doctorado),Ada Zemlak,Veronica_McGlynn@gmail.com,female,Two-spirit,9/9/1993,bapi,3489320539,10/15/2013,1/26/2021
133,65,Sociologia (Maestria),Fannie Hansen,Samantha_Bode74@gmail.com,female,Polygender,2/5/1992,bapi,3206010386,10/13/2018,5/18/2025
134,58,Matematicas (Maestria),Dr. Mario Dare-Bernier,Bruce.Reinger31@yahoo.com,male,Female to male,11/17/1990,pasantia,3578595420,7/25/2011,11/1/2017
135,66,Trabajo Social (Maestria),Horace Pollich,Raquel.Crooks@yahoo.com,female,Transexual woman,8/24/1990,bapi,3950708006,12/6/2018,1/15/2028
136,58,Matematicas (Maestria),Celia Haag,Mack20@hotmail.com,male,Transexual male,5/11/1997,tesis,3109252530,11/20/2026,5/1/2034
137,57,Linguistica (Maestria),Thomas Schmidt,Dominick.Schinner@hotmail.com,male,Non-binary,8/18/1995,bapi,3258176086,9/25/2022,11/26/2034
138,46,Economia (Maestria),Arturo Renner III,Marlene95@gmail.com,female,Transgender person,6/1/1996,pasantia,3983767899,9/12/2025,9/21/2030
139,76,Matematicas (Doctorado),Gilberto Lueilwitz,Chris38@yahoo.com,male,Transgender female,5/10/1992,pasantia,3027342755,8/18/2014,3/2/2022
140,78,Neurociencias (Doctorado),Drew Quitzon DVM,Lucy_Kub89@hotmail.com,female,T* man,1/6/1996,pasantia,3716123923,8/10/2022,1/12/2027
141,15,Enfermeria,Duane Deckow,Mona55@hotmail.com,female,Intersex man,7/7/1995,tesis,3269341691,11/12/2021,3/24/2027
142,21,Ingenieria Biomedica,June Bartell,Peter.Hilll92@hotmail.com,male,Female to male,5/23/1998,tesis,3202351560,12/25/2028,2/6/2033
143,79,Quimica (Doctorado),Spencer Sanford,Chad18@hotmail.com,male,Transgender female,9/25/1995,tesis,3555630757,12/30/2016,11/2/2024
144,5,Biologia,Pamela Gusikowski,Elvira19@hotmail.com,female,Woman,2/19/1991,pasantia,3335530998,5/21/2012,3/24/2017
145,5,Biologia,Ms. Rosie Beahan,Sidney_Cummerata@hotmail.com,male,Transexual male,1/23/1994,pasantia,3348198004,4/2/2022,9/5/2032
146,66,Trabajo Social (Maestria),Kellie Hamill,Anita64@hotmail.com,female,MTF,11/5/1991,pasantia,3431180486,6/14/2018,12/15/2025
147,60,Neurociencias (Maestria),Elisa Reilly,Melody.Osinski@hotmail.com,female,Pangender,2/6/1994,pasantia,3789055870,6/10/2020,4/12/2027
148,36,Odontologia,Nina Lebsack,Vera_King-Kunde22@yahoo.com,female,Other,12/31/1997,pasantia,3156193922,11/5/2029,1/13/2034
149,72,Estudios Urbanos y Regionales (Doctorado),Francis Hartmann,Nina11@hotmail.com,female,Cis,3/12/1992,tesis,3348532142,5/23/2017,4/24/2029
150,44,Ciencias de la Informacion y la Comunicacion (Maestria),Garry Lynch-Carter I,Drew_Terry83@hotmail.com,male,Polygender,12/20/1999,pasantia,3494726206,10/26/2021,4/28/2031
151,8,Ciencias Politicas,Carroll Leuschke II,Mike95@gmail.com,male,Trans person,10/20/1993,bapi,3715124118,6/28/2022,12/7/2033
152,23,Ingenieria de Alimentos,Byron Shields III,Eileen.Lueilwitz@yahoo.com,female,Two-spirit,9/29/1993,tesis,3707966209,3/31/2016,6/2/2021
153,33,Microbiologia,Percy Ernser,Jody46@gmail.com,female,Transexual,2/28/1995,bapi,3392279463,1/1/2025,2/10/2034
154,73,Fisica (Doctorado),Max Langosh,Rene_Shanahan42@hotmail.com,male,Gender questioning,12/8/1995,tesis,3130239043,2/9/2017,10/15/2020
155,50,Genetica y Biologia Molecular (Maestria),Otis Will,Meredith_Abernathy@yahoo.com,female,Male to female,12/16/1994,tesis,3728748210,5/22/2025,3/26/2029
156,19,Ingenieria Agricola,Darla Yost,Alberta_Kutch@yahoo.com,female,Cisgender male,7/23/1999,tesis,3545319740,12/5/2025,3/12/2037
157,34,Musica,Megan Vandervort,Shari73@hotmail.com,female,Bigender,5/4/1994,pasantia,3275023886,9/10/2019,3/12/2029
158,66,Trabajo Social (Maestria),Sarah King-Hilpert,Leland24@yahoo.com,male,Transexual male,6/14/1997,pasantia,3200676660,8/24/2022,5/25/2028
159,7,Ciencias de la Computacion,Dr. Emma Hyatt,Allen.Fahey99@yahoo.com,male,Transexual man,5/5/1998,bapi,3191368554,1/15/2024,7/17/2031
160,37,Pedagogia,Belinda Larson,Victor_Schmidt14@hotmail.com,male,Male to female trans woman,4/30/1990,pasantia,3418621070,5/6/2015,1/12/2026
161,48,Estudios Latinoamericanos (Maestria),Shawna McGlynn,Evelyn.Stroman-Hintz@yahoo.com,female,Transexual person,1/19/1994,tesis,3521532666,10/24/2016,3/2/2023
162,43,Biologia Molecular y Biotecnologia (Maestria),Cristina Rodriguez,Jennifer12@hotmail.com,female,Gender nonconforming,2/16/1999,pasantia,3100260354,3/24/2022,6/2/2027
163,36,Odontologia,Sandy Reilly,Gretchen.Becker34@yahoo.com,female,Non-binary,5/24/1998,tesis,3614598011,11/5/2029,1/14/2036
164,38,Psicologia,Miss Minnie Howe,Sidney_Kemmer69@gmail.com,male,Demi-boy,11/3/1991,tesis,3786075899,5/8/2021,2/20/2033
165,45,Desarrollo Sostenible (Maestria),Pablo Zemlak,Milton19@hotmail.com,male,Demigender,5/15/1995,bapi,3683745224,10/26/2026,12/6/2030
166,78,Neurociencias (Doctorado),Robert Morissette,Stella_Stroman79@gmail.com,female,Gender questioning,7/1/1998,pasantia,3901233868,10/6/2017,3/15/2021
167,29,Ingenieria Quimica,Saul Kertzmann-Dare,Lamar.Toy84@hotmail.com,male,Demigender,4/21/1995,tesis,3562073535,8/1/2023,3/12/2035
168,73,Fisica (Doctorado),Ed Tillman II,Teri_Runte47@gmail.com,female,Transgender person,11/19/1997,tesis,3385724406,12/30/2023,2/11/2031
169,76,Matematicas (Doctorado),Miss Eileen Wuckert,Jeremy45@hotmail.com,male,Cisgender male,5/21/1990,pasantia,3191837958,6/1/2011,6/9/2019
170,1,Administracion de Empresas,Timmy D'Amore,Linda48@hotmail.com,female,Female to male transsexual man,8/31/1996,tesis,3102221283,7/2/2025,11/7/2036
171,12,Diseno Grafico,Angel Abshire,Angelo.Streich65@gmail.com,male,Xenogender,8/29/1990,bapi,3850028375,1/9/2012,11/16/2021
172,51,Gestion y Desarrollo Urbanos (Maestria),Jon Gorczany,Angel29@yahoo.com,female,Cis woman,2/15/1990,pasantia,3403838612,5/22/2017,9/26/2022
173,76,Matematicas (Doctorado),Tammy Rau MD,Alberta.Upton@hotmail.com,female,Trans female,9/25/1996,tesis,3992040499,7/30/2024,11/2/2030
174,5,Biologia,Stella Kihn Jr.,Ada.Denesik92@yahoo.com,female,Two-spirit,11/22/1994,tesis,3854244807,8/31/2022,7/11/2027
175,31,Matematicas,Leslie Nikolaus,Alonzo_Lueilwitz18@yahoo.com,male,Demi-man,4/22/1992,tesis,3480005022,8/23/2020,12/27/2029
176,45,Desarrollo Sostenible (Maestria),Stephanie Hackett,Katrina_Kemmer20@gmail.com,female,Cisgender female,2/29/2000,tesis,3211582794,4/4/2021,6/14/2032
177,80,Sociologia (Doctorado),Sam Collins,David.Haag@yahoo.com,male,Neutrois,6/5/1990,pasantia,3060594880,7/16/2010,10/21/2014
